V1,V2
AT2G43790,AT2G43795
AT2G44065,AT2G44070
AT2G45360,AT2G45380
AT2G46020,AT2G46030
AT2G47820,AT2G47830
AT3G01350,AT3G01360
AT3G01830,AT3G01840
AT3G01920,AT3G01930
AT3G01950,AT3G01960
AT3G02030,AT3G02040
AT3G02160,AT3G02170
AT3G02370,AT3G02380
AT3G02400,AT3G02410
AT3G03740,AT3G03750
AT3G04300,AT3G04310
AT3G04550,AT3G04560
AT3G04690,AT3G04700
AT3G04870,AT3G04880
AT3G05100,AT3G05110
AT3G05230,AT3G05240
AT3G05410,AT3G05415
AT3G05760,AT3G05770
AT3G06435,AT3G06436
AT3G06810,AT3G06820
AT3G06868,AT3G06870
AT3G06950,AT3G06960
AT3G07080,AT3G07090
AT3G07140,AT3G07150
AT3G07170,AT3G07180
AT3G07400,AT3G07410
AT3G07525,AT3G07530
AT3G07590,AT3G07600
AT3G08010,AT3G08020
AT3G09060,AT3G09050
AT3G09085,AT3G09090
AT3G09300,AT3G09310
AT3G09540,AT3G09550
AT3G09670,AT3G09680
AT3G10120,AT3G10130
AT3G10200,AT3G10210
AT3G10350,AT3G10360
AT3G10405,AT3G10390
AT3G10525,AT3G10527
AT3G10620,AT3G10630
AT3G10710,AT3G10720
AT3G10820,AT3G10840
AT3G10850,AT3G10860
AT3G10880,AT3G10890
AT3G11020,AT3G11030
AT3G11560,AT3G11570
AT3G11590,AT3G11591
AT3G11620,AT3G11630
AT3G12060,AT3G12070
AT3G12480,AT3G12490
AT3G12810,AT3G12820
AT3G12833,AT3G12835
AT3G12930,AT3G12940
AT3G13070,AT3G13075
AT3G13470,AT3G13480
AT3G13530,AT3G13540
AT3G13670,AT3G13672
AT3G14460,AT3G14463
AT3G15260,AT3G15270
AT3G15604,AT3G15605
AT3G16130,AT3G16140
AT3G16525,AT3G16530
AT3G16980,AT3G16990
AT3G17611,AT3G17620
AT3G17760,AT3G17765
AT3G18100,AT3G18110
AT3G18773,AT3G18775
AT3G19220,AT3G19230
AT3G19330,AT3G19340
AT3G19480,AT3G19490
AT3G19520,AT3G19530
AT3G19550,AT3G19552
AT3G19800,AT3G19810
AT3G20240,AT3G20250
AT3G20430,AT3G20440
AT3G20670,AT3G20680
AT3G20730,AT3G20740
AT3G20790,AT3G20800
AT3G20898,AT3G20900
AT3G21180,AT3G21190
AT3G21490,AT3G21500
AT3G21520,AT3G21530
AT3G22560,AT3G22565
AT3G22760,AT3G22770
AT3G22942,AT3G22950
AT3G23100,AT3G23110
AT3G23122,AT3G23123
AT3G23480,AT3G23490
AT3G24100,AT3G24110
AT3G24500,AT3G24503
AT3G24929,AT3G24982
AT3G25490,AT3G25493
AT3G25550,AT3G25560
AT3G26450,AT3G26440
AT3G26840,AT3G26850
AT3G28630,AT3G28635
AT3G28956,AT3G28958
AT3G32930,AT3G32940
AT3G33530,AT3G33520
AT3G43500,AT3G43503
AT3G44430,AT3G44435
AT3G45010,AT3G45020
AT3G45170,AT3G45180
AT3G45640,AT3G45645
AT3G45740,AT3G45750
AT3G45890,AT3G45900
AT3G46640,AT3G46650
AT3G47060,AT3G47070
AT3G48470,AT3G48475
AT3G49080,AT3G49100
AT3G49155,AT3G49160
AT3G49180,AT3G49190
AT3G49240,AT3G49250
AT3G49550,AT3G49551
AT3G49890,AT3G49900
AT3G50100,AT3G50110
AT3G52070,AT3G52075
AT3G52155,AT3G52160
AT3G52210,AT3G52220
AT3G52590,AT3G52600
AT3G53235,AT3G53240
AT3G53530,AT3G53540
AT3G54110,AT3G54120
AT3G54420,AT3G54430
AT3G54450,AT3G54460
AT3G54510,AT3G54520
AT3G54826,AT3G54830
AT3G54910,AT3G54920
AT3G55250,AT3G55252
AT3G55470,AT3G55480
AT3G56250,AT3G56260
AT3G56900,AT3G56910
AT3G56960,AT3G56970
AT3G57360,AT3G57370
AT3G57720,AT3G57730
AT3G58520,AT3G58530
AT3G58780,AT3G58790
AT3G58865,AT3G58875
AT3G59030,AT3G59040
AT3G59290,AT3G59295
AT3G59400,AT3G59410
AT3G60328,AT3G60330
AT3G60961,AT3G60965
AT3G61080,AT3G61090
AT3G62080,AT3G62090
AT3G62140,AT3G62150
AT3G62610,AT3G62615
AT3G62690,AT3G62695
AT3G63093,AT3G63095
AT3G63210,AT3G63215
AT3G63255,AT3G63260
AT3G63470,AT3G63480
AT4G00163,AT4G00165
AT4G00650,AT4G00651
AT4G00750,AT4G00752
AT4G00760,AT4G00770
AT4G00880,AT4G00883
AT4G01026,AT4G01030
AT4G01390,AT4G01370
AT4G01570,AT4G01575
AT4G02040,AT4G02050
AT4G02200,AT4G02210
AT4G02610,AT4G02620
AT4G03330,AT4G03340
AT4G03490,AT4G03495
AT4G04930,AT4G04940
AT4G09000,AT4G09010
AT4G09750,AT4G09760
AT4G10100,AT4G10110
AT4G10620,AT4G10630
AT4G10910,AT4G10920
AT4G11890,AT4G11900
AT4G12010,AT4G12020
AT4G12380,AT4G12382
AT4G12490,AT4G12495
AT4G12550,AT4G12555
AT4G12850,AT4G12860
AT4G13160,AT4G13170
AT4G13360,AT4G13370
AT4G13580,AT4G13590
AT4G14100,AT4G14090
AT4G14520,AT4G14530
AT4G14700,AT4G14710
AT4G14730,AT4G14740
AT4G14830,AT4G14840
AT4G14890,AT4G14900
AT4G15020,AT4G15025
AT4G16190,AT4G16195
AT4G16310,AT4G16330
AT4G16535,AT4G16540
AT4G16670,AT4G16680
AT4G16695,AT4G16700
AT4G16915,AT4G16920
AT4G17010,AT4G17020
AT4G17150,AT4G17160
AT4G17350,AT4G17360
AT4G17380,AT4G17390
AT4G17540,AT4G17550
AT4G17600,AT4G17610
AT4G18215,AT4G18220
AT4G18370,AT4G18372
AT4G18596,AT4G18600
AT4G19480,AT4G19485
AT4G19645,AT4G19650
AT4G19850,AT4G19860
AT4G20325,AT4G20330
AT4G20830,AT4G20835
AT4G21515,AT4G21520
AT4G22475,AT4G22485
AT4G22495,AT4G22505
AT4G23000,AT4G23010
AT4G23530,AT4G23540
AT4G23800,AT4G23810
AT4G23960,AT4G23970
AT4G24380,AT4G24390
AT4G24610,AT4G24615
AT4G25140,AT4G25150
AT4G25310,AT4G25315
AT4G25610,AT4G25620
AT4G26140,AT4G26145
AT4G26300,AT4G26288
AT4G26770,AT4G26780
AT4G26800,AT4G26810
AT4G26970,AT4G26980
AT4G27030,AT4G27040
AT4G27590,AT4G27595
AT4G28010,AT4G28020
AT4G28220,AT4G28230
AT4G28280,AT4G28290
AT4G28310,AT4G28320
AT4G28640,AT4G28650
AT4G28760,AT4G28770
AT4G29210,AT4G29220
AT4G30097,AT4G30100
AT4G30420,AT4G30430
AT4G30660,AT4G30662
AT4G30845,AT4G30850
AT4G32530,AT4G32535
AT4G32660,AT4G32670
AT4G33300,AT4G33310
AT4G35025,AT4G35030
AT4G35480,AT4G35485
AT4G35850,AT4G35860
AT4G36130,AT4G36140
AT4G36160,AT4G36170
AT4G36791,AT4G36795
AT4G37190,AT4G37200
AT4G37480,AT4G37483
AT4G38092,AT4G38100
AT4G38820,AT4G38825
AT4G39960,AT4G39970
AT4G39990,AT4G40000
AT5G01225,AT5G01230
AT5G01760,AT5G01770
AT5G01920,AT5G01930
AT5G02065,AT5G02070
AT5G02120,AT5G02130
AT5G03160,AT5G03170
AT5G03190,AT5G03200
AT5G03300,AT5G03310
AT5G03330,AT5G03340
AT5G03420,AT5G03430
AT5G03570,AT5G03580
AT5G03905,AT5G03910
AT5G03930,AT5G03940
AT5G04470,AT5G04475
AT5G04600,AT5G04610
AT5G04660,AT5G04670
AT5G04750,AT5G04760
AT5G05365,AT5G05370
AT5G05730,AT5G05735
AT5G05960,AT5G05965
AT5G06260,AT5G06265
AT5G06310,AT5G06320
AT5G06640,AT5G06645
AT5G06930,AT5G06940
AT5G07110,AT5G07120
AT5G07571,AT5G07572
AT5G07830,AT5G07840
AT5G08270,AT5G08280
AT5G08360,AT5G08370
AT5G08510,AT5G08520
AT5G08695,AT5G08710
AT5G10050,AT5G10030
AT5G10080,AT5G10090
AT5G10430,AT5G10435
AT5G10510,AT5G10520
AT5G10540,AT5G10550
AT5G10600,AT5G10605
AT5G10680,AT5G10690
AT5G11010,AT5G11020
AT5G11350,AT5G11360
AT5G11970,AT5G11975
AT5G12350,AT5G12360
AT5G12380,AT5G12390
AT5G12440,AT5G12450
AT5G12910,AT5G12920
AT5G12970,AT5G12980
AT5G13130,AT5G13140
AT5G13260,AT5G13270
AT5G13290,AT5G13295
AT5G13840,AT5G13850
AT5G14550,AT5G14560
AT5G14670,AT5G14680
AT5G14760,AT5G14770
AT5G15240,AT5G15250
AT5G15290,AT5G15300
AT5G15580,AT5G15581
AT5G15740,AT5G15745
AT5G15760,AT5G15770
AT5G15790,AT5G15800
AT5G15840,AT5G15843
AT5G15880,AT5G15890
AT5G16300,AT5G16310
AT5G16840,AT5G16850
AT5G16930,AT5G16940
AT5G17340,AT5G17345
AT5G17360,AT5G17370
AT5G17580,AT5G17590
AT5G17990,AT5G18000
AT5G18210,AT5G18220
AT5G18730,AT5G18735
AT5G18748,AT5G18750
AT5G18960,AT5G18970
AT5G19140,AT5G19150
AT5G20447,AT5G20450
AT5G20500,AT5G20510
AT5G20935,AT5G20940
AT5G22500,AT5G22505
AT5G22610,AT5G22620
AT5G22830,AT5G22840
AT5G23030,AT5G23035
AT5G24680,AT5G24690
AT5G25500,AT5G25510
AT5G25640,AT5G25750
AT5G25760,AT5G25770
AT5G25990,AT5G25995
AT5G26700,AT5G26710
AT5G27020,AT5G27030
AT5G27093,AT5G27100
AT5G27440,AT5G27450
AT5G27944,AT5G27945
AT5G28919,AT5G28920
AT5G35390,AT5G35400
AT5G35670,AT5G35680
AT5G38396,AT5G38397
AT5G38895,AT5G38900
AT5G39510,AT5G39520
AT5G39590,AT5G39600
AT5G39670,AT5G39680
AT5G40155,AT5G40160
AT5G40380,AT5G40382
AT5G40570,AT5G40580
AT5G40595,AT5G40600
AT5G40640,AT5G40645
AT5G40981,AT5G40970
AT5G41109,AT5G41110
AT5G41680,AT5G41685
AT5G41860,AT5G41870
AT5G41980,AT5G41990
AT5G42290,AT5G42300
AT5G42810,AT5G42820
AT5G43211,AT5G43230
AT5G43860,AT5G43870
AT5G43940,AT5G43950
AT5G44780,AT5G44785
AT5G45400,AT5G45410
AT5G45455,AT5G45460
AT5G46085,AT5G46090
AT5G47435,AT5G47440
AT5G47640,AT5G47650
AT5G47670,AT5G47680
AT5G47960,AT5G47970
AT5G48200,AT5G48205
AT5G48800,AT5G48810
AT5G50562,AT5G50565
AT5G51110,AT5G51120
AT5G51380,AT5G51390
AT5G51460,AT5G51465
AT5G51480,AT5G51490
AT5G51940,AT5G51950
AT5G51970,AT5G51980
AT5G52190,AT5G52170
AT5G52280,AT5G52290
AT5G53310,AT5G53320
AT5G53430,AT5G53440
AT5G53810,AT5G53815
AT5G54040,AT5G54043
AT5G54165,AT5G54170
AT5G55460,AT5G55470
AT5G56870,AT5G56880
AT5G57150,AT5G57160
AT5G57240,AT5G57250
AT5G57567,AT5G57569
AT5G57760,AT5G57770
AT5G57970,AT5G57980
AT5G58250,AT5G58260
AT5G58560,AT5G58570
AT5G58640,AT5G58650
AT5G58790,AT5G58800
AT5G59070,AT5G59080
AT5G59470,AT5G59480
AT5G59890,AT5G59895
AT5G60220,AT5G60230
AT5G60250,AT5G60260
AT5G60620,AT5G60630
AT5G61260,AT5G61270
AT5G61290,AT5G61300
AT5G61490,AT5G61495
AT5G61620,AT5G61630
AT5G61650,AT5G61660
AT5G61930,AT5G61940
AT5G62520,AT5G62530
AT5G62670,AT5G62680
AT5G62910,AT5G62920
AT5G63050,AT5G63060
AT5G63280,AT5G63290
AT5G63480,AT5G63490
AT5G63640,AT5G63650
AT5G63960,AT5G63970
AT5G64400,AT5G64401
AT5G64600,AT5G64610
AT5G64680,AT5G64685
AT5G64750,AT5G64760
AT5G64960,AT5G64970
AT5G65610,AT5G65613
AT5G66052,AT5G66053
AT5G66180,AT5G66190
AT5G66330,AT5G66335
AT5G66410,AT5G66420
AT5G67080,AT5G67090
AT5G67170,AT5G67180
AT5G67230,AT5G67240
AT5G67300,AT5G67310
ATCG01000,ATCG01010
ATMG00870,ATMG00880
