id1	id2	promoterdis	length1	length2	overlap	overlapc
AT5G05960	AT5G05965	3096	1296	1847	45	A
AT1G32870	AT1G32880	3104	2317	808	19	A
AT3G10620	AT3G10630	3109	1560	1810	259	A
AT3G56250	AT3G56260	3111	2244	1055	186	A
AT4G14100	AT4G14090	3113	1647	1648	180	A
AT4G01570	AT4G01575	3129	2469	740	78	A
AT3G52155	AT3G52160	3131	1981	1697	545	A
AT1G61560	AT1G61562	3137	3387	1114	1113	B
AT1G13330	AT1G13340	3154	2664	1593	1101	A
AT4G14120	AT4G14130	3157	2278	1249	368	A
AT5G28919	AT5G28920	3161	1548	3344	1547	B
AT1G15410	AT1G15415	3165	2580	748	161	A
AT5G57970	AT5G57980	3171	2304	898	29	A
AT5G10610	AT5G10620	3179	1644	1681	144	A
AT1G17060	AT1G17065	3185	3395	1728	1727	B
AT1G16000	AT1G16010	3187	787	2408	6	A
AT5G60620	AT5G60630	3188	2573	755	138	A
AT2G16360	AT2G16365	3191	598	5401	597	B
AT1G17600	AT1G17610	3192	5179	3436	3192	A
AT5G18470	AT5G18475	3197	1339	1884	24	A
AT1G52230	AT1G52240	3200	798	2575	171	A
AT3G10880	AT3G10890	3200	2122	1669	589	A
AT2G04039	AT2G04040	3202	1205	2281	282	A
AT5G27430	AT5G27440	3202	3017	1044	857	A
AT5G47640	AT5G47650	3203	1039	2209	43	A
AT3G19800	AT3G19810	3208	1485	1726	1	A
AT4G26800	AT4G26810	3209	2280	938	7	A
AT1G60989	AT1G60990	3211	504	3337	503	B
AT1G56105	AT1G56110	3212	666	2559	11	A
AT2G24480	AT2G24490	3214	597	3426	596	B
AT3G51970	AT3G51980	3225	1244	1990	7	A
AT2G20540	AT2G20550	3231	2017	1509	293	A
AT5G64680	AT5G64685	3232	1335	2031	132	A
ATCG01000	ATCG01010	3233	1032	2241	38	A
AT2G24180	AT2G24190	3234	1858	1478	100	A
AT5G59750	AT5G59760	3240	2230	1062	50	A
AT4G16510	AT4G16515	3243	3237	680	672	A
AT5G44930	AT5G44920	3244	3385	1235	1234	B
AT3G15518	AT3G15520	3246	556	2847	155	A
AT3G10120	AT3G10130	3257	773	3267	772	B
AT3G02690	AT3G02700	3265	1964	1349	46	A
AT1G80750	AT1G80760	3267	1735	1551	17	A
AT1G80890	AT1G80900	3268	1027	2250	7	A
AT5G58060	AT5G58070	3269	2191	1356	276	A
AT5G39670	AT5G39680	3270	889	2449	66	A
AT2G01340	AT2G01350	3271	1307	2083	117	A
AT1G77765	AT1G77770	3272	1507	1835	68	A
AT4G02040	AT4G02050	3274	801	2514	39	A
AT5G35670	AT5G35680	3274	2249	1042	15	A
AT4G35410	AT4G35420	3277	1664	1659	44	A
AT3G19520	AT3G19530	3278	2876	879	475	A
AT2G46100	AT2G46110	3281	1321	2013	51	A
AT1G62720	AT1G62730	3286	1619	1760	91	A
AT4G25310	AT4G25315	3288	2274	1844	828	A
AT2G33793	AT2G33796	3290	3616	544	543	B
AT5G24165	AT5G24170	3293	1305	1999	9	A
AT3G05230	AT3G05240	3297	3314	1698	1697	B
AT4G14830	AT4G14840	3302	1251	2494	441	A
AT1G21430	AT1G21440	3306	1342	1985	19	A
AT1G71250	AT1G71260	3308	1617	1753	60	A
AT1G15810	AT1G15820	3309	2094	1218	1	A
AT5G40595	AT5G40600	3319	570	3361	569	B
AT3G13610	AT3G13620	3323	1553	1834	62	A
AT3G27475	AT3G27480	3325	3303	2385	2361	A
AT5G51160	AT5G51170	3326	1769	1606	47	A
AT2G31953	AT2G31955	3327	645	2719	35	A
AT5G03190	AT5G03200	3336	2009	1378	49	A
AT1G34630	AT1G34640	3345	2466	966	85	A
AT5G03300	AT5G03310	3345	3450	483	482	B
AT3G51390	AT3G51400	3348	2503	939	92	A
AT3G16130	AT3G16140	3348	2529	1608	787	A
AT5G04600	AT5G04610	3354	3411	1341	1340	B
AT5G42980	AT5G42990	3361	1625	1920	182	A
AT1G18975	AT1G18980	3362	3292	818	746	A
AT1G29670	AT1G29680	3362	2238	1172	46	A
AT5G45455	AT5G45460	3373	556	2919	100	A
AT4G14890	AT4G14900	3378	607	3436	606	B
AT1G02860	AT1G02870	3386	1965	1468	45	A
AT2G44750	AT2G44760	3388	1450	1967	27	A
AT3G57910	AT3G57920	3393	3542	1793	1792	B
AT5G03710	AT5G03720	3403	705	3185	485	A
AT5G40410	AT5G40420	3409	1981	1444	14	A
AT4G22310	AT4G22320	3412	1469	1966	21	A
AT5G20935	AT5G20940	3412	641	2908	135	A
AT3G08890	AT3G08900	3415	2214	1864	661	A
AT1G59710	AT1G59720	3417	1818	2033	432	A
AT2G14940	AT2G14945	3419	3082	641	302	A
AT1G75335	AT1G75340	3419	429	3011	19	A
AT4G30420	AT4G30430	3426	2010	1549	131	A
AT2G33390	AT2G33400	3429	1957	1873	399	A
AT5G27850	AT5G27860	3433	1907	1783	255	A
AT1G65410	AT1G65420	3436	2364	1129	55	A
AT5G07110	AT5G07120	3449	831	2649	29	A
AT1G60650	AT1G60660	3452	2487	980	13	A
AT5G06310	AT5G06320	3454	2609	965	118	A
AT3G04550	AT3G04560	3455	1480	2017	40	A
AT1G30160	AT1G30170	3459	1786	1731	56	A
AT3G05010	AT3G05020	3471	2191	1295	13	A
AT1G56570	AT1G56580	3482	3487	1123	1122	B
AT1G68080	AT1G68090	3484	2243	1591	348	A
AT3G09300	AT3G09310	3488	2765	958	233	A
AT4G02200	AT4G02210	3488	2038	1989	537	A
AT5G48800	AT5G48810	3503	2365	1142	2	A
AT4G10620	AT4G10630	3514	2217	1316	17	A
AT2G27480	AT2G27490	3519	1369	2172	20	A
AT5G22500	AT5G22505	3521	3806	1310	1309	B
AT3G05250	AT3G05260	3524	1952	1614	40	A
AT5G03160	AT5G03170	3529	2625	934	28	A
AT1G24030	AT1G24040	3530	2231	2991	1690	A
AT2G29540	AT2G29550	3534	1828	1948	240	A
AT4G01026	AT4G01030	3534	1365	2702	531	A
AT1G78890	AT1G78895	3536	2205	1848	515	A
AT5G08780	AT5G08790	3536	2209	1346	17	A
AT4G21515	AT4G21520	3563	445	3143	23	A
AT2G37330	AT2G37340	3569	1071	2555	55	A
AT4G13580	AT4G13590	3570	890	2726	44	A
AT2G25605	AT2G25610	3571	1884	1737	48	A
AT1G33020	AT1G33030	3574	2087	1545	56	A
AT2G41590	AT2G41600	3580	1646	2304	368	A
AT1G09850	AT1G09860	3583	2236	1396	47	A
AT2G03630	AT2G03640	3585	1188	2483	84	A
AT3G18240	AT3G18250	3590	3249	367	24	A
AT2G18460	AT2G18465	3591	1765	1924	96	A
AT5G15880	AT5G15890	3591	1878	1762	47	A
AT1G47740	AT1G47750	3594	2729	904	37	A
AT3G15260	AT3G15270	3598	3921	1959	1958	B
AT3G11590	AT3G11591	3600	3331	443	172	A
AT3G49890	AT3G49900	3614	1559	2204	147	A
AT1G67430	AT1G67440	3615	1724	1931	38	A
AT4G14358	AT4G14360	3615	330	3396	109	A
AT3G07140	AT3G07150	3617	2961	916	258	A
AT4G01690	AT4G01700	3620	2516	1198	92	A
AT4G31010	AT4G31020	3622	1882	2189	447	A
AT1G11770	AT1G11780	3630	1773	2399	540	A
AT3G54110	AT3G54120	3631	2491	1215	73	A
AT1G48880	AT1G48890	3634	2391	1268	23	A
AT3G16525	AT3G16530	3634	3224	1194	782	A
AT5G17280	AT5G17290	3637	574	3813	573	B
AT1G06450	AT1G06460	3646	1380	2393	125	A
AT4G25660	AT4G25670	3647	2190	1796	337	A
AT1G43900	AT1G43910	3656	1891	1803	36	A
AT3G21490	AT3G21500	3656	605	3162	109	A
AT5G59470	AT5G59480	3658	933	2819	92	A
AT3G52380	AT3G52390	3662	1499	2270	105	A
AT1G09460	AT1G09470	3662	1480	2313	129	A
AT3G05100	AT3G05110	3662	2507	1613	456	A
AT1G49990	AT1G50000	3666	1476	2233	41	A
AT1G29041	AT1G29050	3670	791	2889	8	A
AT4G16535	AT4G16540	3670	2181	3661	2170	A
AT1G56700	AT1G56710	3673	1449	2247	21	A
AT3G09060	AT3G09050	3674	2688	1314	326	A
AT1G08120	AT1G08125	3677	1047	2651	19	A
AT1G74730	AT1G74740	3680	1002	2696	16	A
AT2G42990	AT2G43000	3692	1620	2180	106	A
AT1G05400	AT1G05410	3694	1349	2357	10	A
AT4G24380	AT4G24390	3699	1179	3163	641	A
AT1G26090	AT1G26100	3701	2390	1477	164	A
AT5G67130	AT5G67140	3701	2324	1381	2	A
AT1G62600	AT1G62610	3708	1952	1765	7	A
AT1G21270	AT1G21280	3712	3735	912	911	B
AT1G50900	AT1G50910	3714	926	3181	391	A
AT4G27030	AT4G27040	3722	1123	2755	154	A
AT5G05470	AT5G05480	3724	1883	1865	22	A
AT1G62170	AT1G62180	3726	1915	1993	180	A
AT4G02610	AT4G02620	3728	1729	2055	54	A
AT4G34120	AT4G34131	3734	2011	1761	36	A
AT3G06950	AT3G06960	3734	1468	2312	44	A
AT2G02795	AT2G02800	3739	821	4077	820	B
AT5G39770	AT5G39775	3746	8309	602	601	B
AT5G67080	AT5G67090	3747	1336	2453	40	A
AT5G39590	AT5G39600	3748	2550	1225	25	A
AT1G71480	AT1G71490	3765	1247	2921	401	A
AT3G17380	AT3G17390	3769	2046	1730	5	A
AT4G19850	AT4G19860	3772	998	2825	49	A
AT3G07080	AT3G07090	3777	2082	1761	64	A
AT5G16350	AT5G16360	3781	2499	1478	194	A
AT5G58210	AT5G58220	3788	2309	1483	2	A
AT5G03930	AT5G03940	3789	651	3176	36	A
AT3G22942	AT3G22950	3790	2128	1690	26	A
AT5G01920	AT5G01930	3791	2204	1837	248	A
AT1G71690	AT1G71691	3793	1495	2805	505	A
AT5G46700	AT5G46710	3794	2285	1959	448	A
AT4G03330	AT4G03340	3796	1467	2354	23	A
AT5G53310	AT5G53320	3799	1713	2158	70	A
AT5G25630	AT5G25640	3801	2182	1659	38	A
AT4G05450	AT4G05460	3802	2270	1944	410	A
AT2G47550	AT2G47560	3803	2864	1035	94	A
AT3G01350	AT3G01360	3811	2491	2401	1079	A
AT4G18830	AT4G18840	3812	2109	3813	2108	A
AT1G25150	AT1G25155	3813	1836	2130	151	A
AT1G79380	AT1G79390	3814	2826	1048	58	A
AT4G23800	AT4G23810	3815	2476	1613	272	A
AT3G52710	AT3G52700	3818	1361	6209	1360	B
AT5G53360	AT5G53370	3818	1747	2095	22	A
AT5G27093	AT5G27100	3826	771	3386	329	A
AT2G33520	AT2G33530	3828	975	2894	39	A
AT1G51540	AT1G51550	3829	1980	2351	500	A
AT3G22520	AT3G22530	3830	3929	895	894	B
AT2G44850	AT2G44860	3840	2208	1678	44	A
AT2G47170	AT2G47180	3845	2245	1621	19	A
AT3G25550	AT3G25560	3870	710	3236	74	A
AT1G11890	AT1G11900	3871	2321	1572	20	A
AT3G56540	AT3G56550	3878	1070	3362	552	A
AT1G34770	AT1G34780	3883	2213	1677	5	A
AT3G55830	AT3G55840	3886	2451	1872	435	A
AT1G23550	AT1G23560	3891	2064	2005	176	A
AT1G18630	AT1G18640	3892	1681	2231	18	A
AT3G21520	AT3G21530	3897	835	3117	53	A
AT1G12210	AT1G12211	3898	3701	3240	3041	A
AT5G25500	AT5G25510	3898	1680	2293	73	A
AT2G15630	AT2G15640	3905	2116	1818	27	A
AT5G63280	AT5G63290	3909	2267	1696	52	A
AT1G07476	AT1G07480	3913	945	2996	26	A
AT5G01225	AT5G01230	3915	653	3864	600	A
AT1G80840	AT1G80850	3918	1819	2154	53	A
AT4G19000	AT4G19003	3920	2203	2364	645	A
AT5G62540	AT5G62550	3922	1510	2438	24	A
AT1G64640	AT1G64630	3922	1140	2816	32	A
AT4G03180	AT4G03190	3932	1727	2224	17	A
AT2G39910	AT2G39920	3943	2446	1523	24	A
AT4G29350	AT4G29360	3945	1336	2632	21	A
AT5G40640	AT5G40645	3951	3318	711	76	A
AT2G46225	AT2G46230	3952	2311	1691	48	A
AT5G52840	AT5G52850	3962	1303	2682	21	A
AT1G19350	AT1G19360	3966	2754	1932	718	A
AT5G03570	AT5G03580	3970	3364	759	151	A
AT5G47435	AT5G47440	3976	2317	2118	457	A
AT1G67455	AT1G67460	3979	1551	2477	47	A
AT3G01280	AT3G01290	3981	2176	1910	103	A
AT5G25340	AT5G25350	3994	1767	2698	469	A
AT2G34100	AT2G34130	4000	13956	2877	2876	B
AT2G32280	AT2G32290	4001	2281	2382	660	A
AT1G53708	AT1G53710	4003	803	3236	34	A
AT1G56310	AT1G56320	4009	3162	952	103	A
AT2G01200	AT2G01210	4011	2127	2711	825	A
AT5G08360	AT5G08370	4011	1435	2642	64	A
AT5G16930	AT5G16940	4017	3472	856	309	A
AT5G08270	AT5G08280	4018	1934	2148	62	A
AT1G51960	AT1G51965	4021	1510	2730	217	A
AT1G24800	AT1G24807	4024	2043	2166	183	A
AT5G44530	AT5G44540	4024	3671	360	5	A
AT3G11020	AT3G11030	4025	1988	3124	1085	A
AT5G26700	AT5G26710	4028	1336	2744	50	A
AT3G52210	AT3G52220	4032	2403	1660	29	A
AT3G52590	AT3G52600	4033	1554	2522	41	A
AT1G12810	AT1G12820	4037	1567	2482	10	A
AT1G70760	AT1G70770	4040	1149	2946	53	A
AT3G57720	AT3G57730	4044	4069	1761	1760	B
AT5G66520	AT5G66530	4047	1935	4132	1934	B
AT3G12930	AT3G12940	4047	1476	2883	310	A
AT1G20140	AT1G20150	4050	1552	3091	591	A
AT5G16150	AT5G16160	4056	3224	949	115	A
AT1G05835	AT1G05840	4057	568	3550	59	A
AT5G15710	AT5G15720	4058	2520	1962	422	A
AT1G18870	AT1G18871	4059	3888	177	4	A
AT5G62910	AT5G62920	4062	2099	2312	347	A
AT1G79710	AT1G79720	4065	2240	1889	62	A
AT2G43790	AT2G43795	4073	2626	1492	43	A
AT3G12480	AT3G12490	4074	2598	1503	25	A
AT4G39060	AT4G39070	4077	2028	2054	3	A
AT5G18700	AT5G18705	4077	5885	1013	1012	B
AT5G59070	AT5G59080	4078	2321	4175	2320	B
AT4G17540	AT4G17550	4083	2033	2292	240	A
AT1G60420	AT1G60430	4089	2500	1609	18	A
AT2G38330	AT2G38340	4092	2912	1220	38	A
AT5G25170	AT5G25180	4096	2084	2479	465	A
AT5G07240	AT5G07250	4100	2399	1706	3	A
AT3G05740	AT3G05741	4101	3389	803	89	A
AT3G46290	AT3G46300	4101	3187	970	54	A
AT1G68510	AT1G68520	4107	1622	2815	328	A
AT3G49155	AT3G49160	4107	1307	2870	68	A
AT5G66180	AT5G66190	4107	2142	2033	66	A
AT3G52080	AT3G52090	4108	3023	1204	117	A
AT5G40570	AT5G40580	4111	1631	2538	56	A
AT2G21940	AT2G21950	4112	2689	1473	48	A
AT4G31740	AT4G31750	4114	572	4185	571	B
AT4G39620	AT4G39630	4118	2372	1797	49	A
AT5G09920	AT5G09930	4118	1392	2808	80	A
AT5G51940	AT5G51950	4118	1340	2802	22	A
AT3G45010	AT3G45020	4119	2846	1303	28	A
AT5G25080	AT5G25090	4123	3365	800	40	A
AT5G39510	AT5G39520	4125	2310	1832	15	A
AT2G43310	AT2G43320	4126	788	3378	38	A
AT5G55460	AT5G55470	4127	726	3462	59	A
AT1G01730	AT1G01740	4133	1393	2820	78	A
AT3G10200	AT3G10210	4143	3403	1344	602	A
AT4G20760	AT4G20770	4145	1829	2325	7	A
AT5G60250	AT5G60260	4147	3763	1014	628	A
AT3G14460	AT3G14463	4159	4461	908	907	B
AT1G65840	AT1G65845	4165	3320	913	66	A
AT2G23200	AT2G23210	4166	2694	2138	664	A
AT3G09670	AT3G09680	4170	2858	1327	13	A
AT1G04230	AT1G04240	4174	3274	1541	639	A
AT1G74580	AT1G74590	4175	3358	1011	192	A
AT4G37190	AT4G37200	4183	2650	1591	56	A
AT3G56900	AT3G56910	4187	3362	876	49	A
AT5G12110	AT5G12120	4188	2429	2544	783	A
AT3G23100	AT3G23110	4189	5719	2508	2507	B
AT2G24960	AT2G24970	4191	2919	1777	503	A
AT2G20710	AT2G20720	4194	1919	2299	22	A
AT2G44065	AT2G44070	4200	2978	1766	542	A
AT5G07580	AT5G07590	4206	815	3584	191	A
AT4G35630	AT4G35640	4209	1513	2779	81	A
AT1G63330	AT1G63340	4214	2177	2138	99	A
AT2G02740	AT2G02750	4218	1902	2402	84	A
AT4G23550	AT4G23560	4227	1736	2743	250	A
AT1G16740	AT1G16750	4228	1373	2878	21	A
AT4G11070	AT4G11080	4234	1697	2625	86	A
AT4G14700	AT4G14710	4234	2588	1727	79	A
AT5G04510	AT5G04520	4236	3066	1225	53	A
AT2G31380	AT2G31390	4240	1504	2779	41	A
AT3G15060	AT3G15070	4241	1437	3125	319	A
AT3G44630	AT3G44635	4247	5272	973	972	B
AT5G58300	AT5G58310	4249	3231	1093	73	A
AT3G22760	AT3G22770	4257	3854	984	579	A
AT3G01920	AT3G01930	4259	1672	2630	41	A
AT3G10140	AT3G10150	4261	2509	1808	54	A
AT3G12210	AT3G12220	4266	1815	2813	360	A
AT3G47440	AT3G47450	4270	1163	3170	61	A
AT4G09000	AT4G09010	4277	2163	2138	22	A
AT5G14670	AT5G14680	4278	2006	2390	116	A
AT3G10220	AT3G10230	4285	2428	1884	25	A
AT2G30620	AT2G30630	4288	1752	2558	20	A
AT4G38560	AT4G38570	4290	2138	2216	62	A
AT1G06790	AT1G06800	4291	2605	2048	360	A
AT3G56840	AT3G56850	4297	2027	2381	109	A
AT5G39400	AT5G39410	4298	2318	2040	58	A
AT1G47250	AT1G47260	4307	1882	3934	1507	A
AT5G66340	AT5G66350	4307	837	3695	223	A
AT4G38225	AT4G38230	4310	1593	2835	116	A
AT5G47860	AT5G47870	4319	2870	1496	45	A
AT5G20500	AT5G20510	4323	1223	3110	8	A
AT5G61260	AT5G61270	4326	2513	1848	33	A
AT3G05760	AT3G05770	4328	2135	2213	18	A
AT5G63010	AT5G63020	4335	1514	2860	37	A
AT2G24670	AT2G24680	4340	899	3747	304	A
AT5G18960	AT5G18970	4345	3354	1432	439	A
AT1G76530	AT1G76540	4350	2303	2049	0	A
AT3G19240	AT3G19250	4351	2978	1787	412	A
AT5G10680	AT5G10690	4355	1191	3940	774	A
AT4G10640	AT4G10650	4356	2693	2459	794	A
AT2G28930	AT2G28940	4356	2352	2028	22	A
AT4G16695	AT4G16700	4359	1888	2819	346	A
AT4G21800	AT4G21810	4363	2357	2052	44	A
AT3G19220	AT3G19230	4366	1643	2759	34	A
AT3G14340	AT3G14350	4370	381	4359	368	A
AT1G03050	AT1G03055	4372	2557	1840	23	A
AT1G69470	AT1G69480	4380	423	3966	7	A
AT1G54310	AT1G54320	4384	2008	2416	38	A
AT5G41980	AT5G41990	4386	1393	3026	31	A
AT1G15015	AT1G15020	4398	843	4248	691	A
AT4G18210	AT4G18215	4401	2735	2728	1060	A
AT4G16430	AT4G16440	4402	1917	2567	80	A
AT2G30766	AT2G30770	4405	2898	2080	571	A
AT2G34910	AT2G34920	4416	1209	3229	20	A
AT4G20420	AT4G20430	4418	654	4580	653	B
AT3G59970	AT3G59980	4420	3260	1215	53	A
AT5G51970	AT5G51980	4422	1634	2808	18	A
AT5G17990	AT5G18000	4426	2688	1743	3	A
AT5G53920	AT5G53930	4430	2285	2175	28	A
AT5G53330	AT5G53340	4449	1642	2858	49	A
AT5G10830	AT5G10840	4452	1340	3137	23	A
AT4G34850	AT4G34860	4455	1626	2874	43	A
AT5G38895	AT5G38900	4458	2256	2208	4	A
AT5G63050	AT5G63060	4464	2544	1943	21	A
AT5G13660	AT5G13670	4467	2736	1944	211	A
AT5G17360	AT5G17370	4468	1377	3143	50	A
AT5G43940	AT5G43950	4468	2325	2169	24	A
AT5G28210	AT5G28220	4469	1878	2639	46	A
AT3G48470	AT3G48475	4470	5295	1370	1369	B
AT5G25760	AT5G25770	4470	1715	2911	154	A
AT4G16950	AT4G16955	4480	5605	1031	1030	B
AT5G63780	AT5G63790	4487	2786	1722	19	A
AT4G26140	AT4G26145	4490	5246	314	313	B
AT3G13782	AT3G13784	4493	2427	2352	284	A
AT5G61920	AT5G61930	4497	1705	3727	933	A
AT3G12060	AT3G12070	4498	2424	2815	739	A
AT2G45360	AT2G45380	4501	923	3666	86	A
AT2G36650	AT2G36660	4502	1433	3078	7	A
AT3G45890	AT3G45900	4505	2790	2215	498	A
AT1G33770	AT1G33780	4508	3679	1460	629	A
AT2G02720	AT2G02730	4512	2101	2505	92	A
AT1G49350	AT1G49360	4521	2327	2235	39	A
AT2G42220	AT2G42230	4524	1354	3197	25	A
AT4G17350	AT4G17360	4532	2443	2118	27	A
AT5G67170	AT5G67180	4533	2330	2323	118	A
AT3G62080	AT3G62090	4535	2604	2163	230	A
AT5G03905	AT5G03910	4544	1695	2964	113	A
AT5G20590	AT5G20600	4546	2748	1818	18	A
AT1G68940	AT1G68935	4550	4623	1570	1569	B
AT2G01280	AT2G01290	4552	3719	1268	433	A
AT4G26430	AT4G26440	4559	2638	1956	33	A
AT1G58220	AT1G58223	4583	4724	1551	1550	B
AT3G32930	AT3G32940	4585	1658	3007	78	A
AT5G28232	AT5G28235	4588	2553	2065	28	A
AT4G35040	AT4G35050	4590	2673	2214	295	A
AT4G26770	AT4G26780	4590	2880	1770	58	A
AT1G76450	AT1G76460	4592	1625	3000	31	A
AT1G27060	AT1G27070	4593	1767	2843	15	A
AT1G50440	AT1G50450	4596	2139	2579	120	A
AT2G10625	AT2G10910	4596	5510	4599	4596	A
AT1G55190	AT1G55200	4603	803	3872	70	A
AT1G71110	AT1G71120	4609	3217	1416	22	A
AT3G50950	AT3G50960	4610	2963	1732	83	A
AT3G26680	AT3G26690	4612	3114	1529	29	A
AT3G49180	AT3G49190	4613	2190	2525	100	A
AT4G37040	AT4G37050	4622	2030	2636	42	A
AT2G43840	AT2G43850	4624	1613	3069	56	A
AT5G61670	AT5G61680	4631	2837	1899	103	A
AT2G19280	AT2G19290	4635	3758	1104	225	A
AT1G69720	AT1G69730	4644	1850	2811	15	A
AT4G03490	AT4G03495	4644	4984	937	936	B
AT4G15475	AT4G15480	4653	3043	1716	104	A
AT5G65090	AT5G65100	4653	2970	1701	16	A
AT2G21590	AT2G21595	4655	4186	747	276	A
AT3G04870	AT3G04880	4659	3637	1103	79	A
AT4G39960	AT4G39970	4662	2838	1867	41	A
AT4G10750	AT4G10760	4663	1255	3530	120	A
AT1G55090	AT1G55100	4670	4016	869	213	A
AT3G16175	AT3G16180	4682	964	3740	20	A
AT1G67150	AT1G67160	4694	2622	2280	206	A
AT5G40380	AT5G40382	4699	3694	1136	129	A
AT2G03270	AT2G03280	4700	2372	2365	35	A
AT5G08480	AT5G08490	4700	1793	4690	1781	A
AT2G01750	AT2G01755	4701	4786	594	593	B
AT1G29380	AT1G29390	4707	2769	2037	97	A
AT5G51460	AT5G51465	4709	3789	991	69	A
AT3G50430	AT3G50440	4723	3734	1075	84	A
AT2G21340	AT2G21350	4727	3844	1082	197	A
AT5G38630	AT5G38640	4732	2194	3059	519	A
AT1G16370	AT1G16380	4734	1815	2957	36	A
AT2G32670	AT2G32680	4737	1898	2846	5	A
AT4G01390	AT4G01370	4738	1456	3383	99	A
AT5G61290	AT5G61300	4741	2288	2566	111	A
AT1G14020	AT1G14030	4748	2584	2223	57	A
AT3G47060	AT3G47070	4748	3946	1142	338	A
AT3G21200	AT3G21210	4750	1909	2863	20	A
AT4G20325	AT4G20330	4752	2906	1965	117	A
AT1G14350	AT1G14360	4753	2837	1947	29	A
AT4G09750	AT4G09760	4763	2192	2641	68	A
AT2G24010	AT2G24020	4765	3166	1603	2	A
AT3G59940	AT3G59950	4766	1449	3321	2	A
AT4G36960	AT4G36970	4767	2848	1942	21	A
AT1G20925	AT1G20930	4770	2608	2177	13	A
AT1G21370	AT1G21380	4773	1752	3025	2	A
AT1G14390	AT1G14400	4775	2878	2327	428	A
AT3G46640	AT3G46650	4779	3918	2369	1506	A
AT1G08340	AT1G08350	4798	1752	3057	9	A
AT1G24280	AT1G24290	4798	3134	1686	20	A
AT2G42940	AT2G42920	4801	1203	4812	1202	B
AT3G24500	AT3G24503	4806	1417	3501	110	A
AT5G56610	AT5G56620	4807	1777	3566	534	A
AT2G33620	AT2G33630	4817	2910	1938	29	A
AT3G12190	AT3G12200	4817	810	4044	35	A
AT3G14100	AT3G14110	4817	3358	1501	40	A
AT3G13770	AT3G13772	4818	1903	2917	0	A
AT1G63980	AT1G63990	4823	2674	2544	393	A
AT4G08455	AT4G08460	4831	1368	3495	30	A
AT1G73690	AT1G73700	4831	2511	2362	40	A
AT1G48370	AT1G48380	4834	3027	2282	473	A
AT5G05830	AT5G05840	4837	1256	3602	19	A
AT1G61415	AT1G61420	4841	1307	4043	507	A
AT1G75440	AT1G75450	4847	1595	3918	664	A
AT5G14430	AT5G14440	4851	2966	1887	0	A
AT3G09230	AT3G09240	4856	2045	2822	9	A
AT2G45940	AT2G45950	4857	1363	3518	22	A
AT5G38600	AT5G38610	4861	4192	710	39	A
AT2G30820	AT2G30830	4863	3454	1857	446	A
AT1G48560	AT1G48570	4865	2656	3850	1639	A
AT3G44830	AT3G44840	4869	3554	1342	25	A
AT3G21360	AT3G21370	4873	1777	3624	526	A
AT1G23790	AT1G23800	4875	2135	2768	26	A
AT1G73130	AT1G73140	4905	3345	1814	252	A
AT3G54826	AT3G54830	4909	1533	3416	38	A
AT1G17630	AT1G17640	4910	2670	2307	65	A
AT4G22270	AT4G22280	4930	2819	2183	70	A
AT1G47230	AT1G47240	4931	2275	2703	45	A
AT3G19330	AT3G19340	4933	2034	2925	24	A
AT2G47935	AT2G47940	4954	1247	4148	439	A
AT3G49240	AT3G49250	4966	2070	5039	2069	B
AT5G45400	AT5G45410	4966	3453	1890	375	A
AT4G33630	AT4G33640	4975	4063	942	28	A
AT4G39990	AT4G40000	4990	1412	3664	84	A
AT2G02955	AT2G02960	5011	2636	2424	47	A
AT2G25270	AT2G25280	5016	2845	2298	125	A
AT3G58590	AT3G58600	5018	2544	2484	8	A
AT5G19350	AT5G19360	5018	2535	2550	65	A
AT3G58130	AT3G58140	5021	2376	2733	86	A
AT2G19610	AT2G19620	5023	2147	2973	95	A
AT4G00490	AT4G00500	5027	2694	2369	34	A
AT4G12390	AT4G12400	5033	1851	3346	162	A
AT3G26470	AT3G26480	5034	1711	3694	369	A
AT1G74900	AT1G74910	5038	1735	3437	132	A
AT4G31530	AT4G31540	5042	5161	2885	2884	B
AT4G28220	AT4G28230	5051	3622	1475	44	A
AT1G12775	AT1G12780	5052	2088	2969	3	A
AT2G31530	AT2G31540	5054	3622	1597	163	A
AT1G29200	AT1G29220	5057	3046	2078	65	A
AT2G19060	AT2G19070	5064	3625	1948	507	A
AT5G22610	AT5G22620	5064	1760	3333	27	A
AT5G44780	AT5G44785	5069	2493	3681	1103	A
AT3G02030	AT3G02040	5072	3940	1585	451	A
AT5G24680	AT5G24690	5073	1944	3191	60	A
AT4G37490	AT4G37480	5074	2423	2706	53	A
AT4G21180	AT4G21190	5075	3372	1813	108	A
AT4G36760	AT4G36770	5080	3767	1552	237	A
AT1G72660	AT1G72670	5085	3088	2200	201	A
AT5G25310	AT5G25320	5099	2620	2651	170	A
AT5G17500	AT5G17510	5102	2546	3164	606	A
AT5G39970	AT5G39980	5102	2844	2361	101	A
AT1G60460	AT1G60470	5102	3524	1605	25	A
AT3G13470	AT3G13480	5109	3596	1905	390	A
AT4G39030	AT4G39040	5115	3788	1433	104	A
AT3G61610	AT3G61620	5120	2248	2890	16	A
AT1G56290	AT1G56300	5130	3408	2401	677	A
AT5G59000	AT5G59010	5133	2132	3284	281	A
AT3G13670	AT3G13672	5137	4253	1817	931	A
AT4G28010	AT4G28020	5137	2929	2248	38	A
AT5G64750	AT5G64760	5137	2440	2807	108	A
